ID,MODEL,PARAMETERS,ACCURACY,PRECISION,RECALL,AUC,F1
0,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
1,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.9319,0.0,0.0,0.5,0.0
2,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9319,0.0,0.0,0.5,0.0
3,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
4,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.9319,0.0,0.0,0.5,0.0
5,RF,"{'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.9319,0.0,0.0,0.5,0.0
6,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
7,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.9319,0.0,0.0,0.5,0.0
8,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.9319,0.0,0.0,0.5,0.0
9,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
10,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.9319,0.0,0.0,0.5,0.0
11,RF,"{'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.9319,0.0,0.0,0.5,0.0
12,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.9324,0.560975609756,0.0337738619677,0.515921162125,0.0637119113573
13,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.933266666667,0.715789473684,0.0332843857073,0.516159308424,0.0636108512629
14,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.9324,0.702702702703,0.0127263827704,0.506166460692,0.025
15,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.9318,0.478873239437,0.0166421928536,0.507659365912,0.0321665089877
16,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.9346,0.688372093023,0.0724424865394,0.5350229745,0.131089459699
17,RF,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.933933333333,0.740157480315,0.0460107684777,0.522415192158,0.0866359447005
18,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.932433333333,0.551282051282,0.0420949583945,0.519795556602,0.0782173715325
19,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.932466666667,0.717948717949,0.0137053352912,0.506655936952,0.0268972142171
20,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.9319,0.5,0.000978952520803,0.500453707043,0.00195407914021
21,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.9325,0.704545454545,0.0151737640724,0.507354382126,0.0297077144226
22,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.931966666667,0.666666666667,0.00195790504161,0.500943183304,0.00390434358224
23,RF,"{'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.932033333333,0.833333333333,0.00244738130201,0.501205806042,0.00488042947779
24,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 1}",0.934233333333,0.562056737589,0.155163974547,0.573164488973,0.243191407748
25,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}",0.935966666667,0.633187772926,0.141948115516,0.567969443529,0.231907237105
26,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.935866666667,0.656167979003,0.1223690651,0.558841648836,0.206270627063
27,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 1}",0.931133333333,0.481946624804,0.150269211943,0.569232685165,0.229104477612
28,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}",0.935266666667,0.633952254642,0.116984826236,0.556024337144,0.197520661157
29,RF,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.935666666667,0.646753246753,0.12187958884,0.558507487663,0.20510708402
30,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 1}",0.933666666667,0.545454545455,0.155653450808,0.57308730415,0.242193450114
31,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 10}",0.9349,0.621621621622,0.112579539892,0.553785924755,0.190634065479
32,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.9346,0.651685393258,0.0851688693098,0.540921166064,0.150649350649
33,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 1}",0.931266666667,0.482882882883,0.131179637788,0.560456936253,0.206312548114
34,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 10}",0.934866666667,0.636085626911,0.101811062163,0.54877726267,0.17552742616
35,RF,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.934866666667,0.655052264808,0.0920215369555,0.544240192236,0.161373390558
36,LR,"{'C': 0.0001, 'penalty': 'l1'}",0.9319,0.0,0.0,0.5,0.0
37,LR,"{'C': 0.0001, 'penalty': 'l2'}",0.932266666667,0.607843137255,0.0151737640724,0.507229189866,0.0296084049666
38,LR,"{'C': 0.01, 'penalty': 'l1'}",0.9329,0.636363636364,0.0342633382281,0.516416284774,0.0650255457501
39,LR,"{'C': 0.01, 'penalty': 'l2'}",0.932733333333,0.605042016807,0.0352422907489,0.516780568775,0.0666049953747
40,LR,"{'C': 0.1, 'penalty': 'l1'}",0.932933333333,0.634782608696,0.0357317670093,0.517114729947,0.0676552363299
41,LR,"{'C': 0.1, 'penalty': 'l2'}",0.933033333333,0.625,0.0416054821341,0.519890626033,0.0780174391923
42,LR,"{'C': 1, 'penalty': 'l1'}",0.932866666667,0.596026490066,0.0440528634361,0.520935470599,0.0820419325433
43,LR,"{'C': 1, 'penalty': 'l2'}",0.932166666667,0.568965517241,0.0161527165932,0.507629243084,0.0314136125654
44,LR,"{'C': 10, 'penalty': 'l1'}",0.933066666667,0.62962962963,0.0416054821341,0.519908510642,0.0780532598714
45,LR,"{'C': 10, 'penalty': 'l2'}",0.933,0.625954198473,0.0401370533529,0.51919218086,0.0754369825207
46,SVM,"{'C': 0.0001, 'penalty': 'l1'}",0.932233333333,0.604166666667,0.0141948115516,0.506757598214,0.0277379244381
47,SVM,"{'C': 0.0001, 'penalty': 'l2'}",0.932433333333,0.637931034483,0.0181106216349,0.508679734039,0.0352213231794
48,SVM,"{'C': 0.01, 'penalty': 'l1'}",0.932766666667,0.675675675676,0.0244738130201,0.511807675906,0.0472366556448
49,SVM,"{'C': 0.01, 'penalty': 'l2'}",0.932366666667,0.62962962963,0.0166421928536,0.507963404257,0.0324272770625
50,SVM,"{'C': 0.1, 'penalty': 'l1'}",0.9328,0.68,0.0249632892805,0.512052414036,0.0481586402266
51,SVM,"{'C': 0.1, 'penalty': 'l2'}",0.932366666667,0.62962962963,0.0166421928536,0.507963404257,0.0324272770625
52,SVM,"{'C': 1, 'penalty': 'l1'}",0.9328,0.68,0.0249632892805,0.512052414036,0.0481586402266
53,SVM,"{'C': 1, 'penalty': 'l2'}",0.9329,0.674418604651,0.0283896231033,0.513694042513,0.0544856740254
54,SVM,"{'C': 10, 'penalty': 'l1'}",0.9328,0.68,0.0249632892805,0.512052414036,0.0481586402266
55,SVM,"{'C': 10, 'penalty': 'l2'}",0.9328,0.68,0.0249632892805,0.512052414036,0.0481586402266
56,AB,"{'algorithm': 'SAMME', 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
57,AB,"{'algorithm': 'SAMME', 'n_estimators': 10}",0.934,0.617100371747,0.0812530592266,0.538784414937,0.143598615917
58,AB,"{'algorithm': 'SAMME', 'n_estimators': 100}",0.934666666667,0.559712230216,0.190406265296,0.589730442445,0.284149013879
59,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1}",0.9319,0.0,0.0,0.5,0.0
60,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 10}",0.933633333333,0.531784841076,0.212922173275,0.59961128158,0.304089479203
61,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 100}",0.9349,0.56064690027,0.203622124327,0.595980679791,0.298743267504
62,DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 2}",0.9319,0.0,0.0,0.5,0.0
63,DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 5}",0.9319,0.0,0.0,0.5,0.0
64,DT,"{'max_depth': 1, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 10}",0.9319,0.0,0.0,0.5,0.0
65,DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 2}",0.9319,0.0,0.0,0.5,0.0
66,DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 5}",0.9319,0.0,0.0,0.5,0.0
67,DT,"{'max_depth': 1, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 10}",0.9319,0.0,0.0,0.5,0.0
68,DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 2}",0.9341,0.557692307692,0.156142927068,0.573546657582,0.243977055449
69,DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 5}",0.933966666667,0.609154929577,0.0846793930494,0.540354504981,0.148689299527
70,DT,"{'max_depth': 5, 'max_features': 'sqrt', 'criterion': 'gini', 'min_samples_split': 10}",0.934466666667,0.628762541806,0.0920215369555,0.544025576934,0.160546541418
71,DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 2}",0.9329,0.544117647059,0.0905531081743,0.542504439769,0.155266470835
72,DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 5}",0.932733333333,0.521739130435,0.14684287812,0.568503171721,0.229182582124
73,DT,"{'max_depth': 5, 'max_features': 'log2', 'criterion': 'gini', 'min_samples_split': 10}",0.931733333333,0.413793103448,0.00587371512482,0.502632819218,0.011583011583
